,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCA_009773185.1,GCA_009773185.1,ncbi,SCSY01 sp009773185,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,SCSY01,sp009773185,,
GCA_003235785.1,GCA_003235785.1,ncbi,UBA8639 sp003235785,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,sp003235785,,
GCA_005239745.1,GCA_005239745.1,ncbi,SBBL01 sp005239745,Bacteria,Nitrospirota,Nitrospiria,SBBL01,SBBL01,SBBL01,sp005239745,,
GCA_902500695.1,GCA_902500695.1,ncbi,UBA8639 sp902500695,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,sp902500695,,
GCA_012960925.1,GCA_012960925.1,ncbi,DUAG01 sp012960925,Bacteria,Nitrospirota,Nitrospiria,SBBL01,JAADHI01,DUAG01,sp012960925,,
GCA_902500785.1,GCA_902500785.1,ncbi,Nitrospira_A sp902500785,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp902500785,,
GCA_001643555.1,GCA_001643555.1,ncbi,SPGG5 sp001643555,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,SPGG5,sp001643555,,
GCA_005116775.1,GCA_005116775.1,ncbi,Palsa-1315 sp005116775,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116775,,
GCA_002878055.1,GCA_002878055.1,ncbi,Thermodesulfovibrio aggregans_A,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,aggregans_A,,
GCA_002634385.1,GCA_002634385.1,ncbi,GCA-2634385 sp002634385,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,GCA-2634385,sp002634385,,
GCA_005116795.1,GCA_005116795.1,ncbi,RSF151 sp005116795,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,RSF151,sp005116795,,
GCA_012030925.1,GCA_012030925.1,ncbi,Nitrospira_F sp012030925,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp012030925,,
GCF_900302705.1,GCF_900302705.1,ncbi,Sulfobium mesophilum,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,Sulfobium,mesophilum,,
GCA_002753685.1,GCA_002753685.1,ncbi,Magnetobacterium sp002753685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,Magnetobacterium,sp002753685,,
GCA_902500745.1,GCA_902500745.1,ncbi,Nitrospira_F sp902500745,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500745,,
GCA_013824325.1,GCA_013824325.1,ncbi,PNNP01 sp013824325,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,PNNP01,sp013824325,,
GCA_011090425.1,GCA_011090425.1,ncbi,Nitrospira_F sp011090425,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp011090425,,
GCA_007570995.1,GCA_007570995.1,ncbi,Bin75 sp007570995,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp007570995,,
GCA_011321725.1,GCA_011321725.1,ncbi,JAADHP01 sp011321725,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,JAADHP01,sp011321725,,
